2015;Verano;Barcelona;4;22;7;6;9;15;15;
2015;Verano;Emelec;5;22;13;6;3;17;5;
2015;Verano;LigaQuito;9;22;19;0;3;24;5;
2015;Verano;UCatolica;1;22;2;17;3;4;5;
2015;Verano;Independiente;2;22;9;12;1;13;3;
2015;Verano;Aucas;6;22;18;1;3;28;6;
2015;Verano;DCuenca;11;22;2;5;15;4;23;
2015;Verano;Nacional;3;22;5;9;8;6;12;
2015;Verano;DQuito;8;22;19;0;3;23;5;
2015;Verano;Aucas;12;22;11;10;1;13;3;
2015;Verano;River;10;22;5;12;5;7;10;
2015;Verano;LigaLoja;7;22;17;1;4;33;6;
2015;Invierno;Barcelona;7;22;3;14;5;7;8;
2015;Invierno;Emelec;11;22;21;0;1;38;2;
2015;Invierno;LigaQuito;4;22;3;14;5;5;7;
2015;Invierno;UCatolica;3;22;16;5;1;22;2;
2015;Invierno;Independiente;8;22;17;0;5;27;11;
2015;Invierno;Aucas;6;22;13;5;4;19;7;
2015;Invierno;DCuenca;1;22;4;17;1;7;2;
2015;Invierno;Nacional;2;22;1;1;20;2;40;
2015;Invierno;DQuito;9;22;18;2;2;21;4;
2015;Invierno;Aucas;10;22;15;0;7;21;15;
2015;Invierno;River;12;22;7;10;5;13;7;
2015;Invierno;LigaLoja;5;22;12;7;3;18;6;
2014;Verano;Barcelona;9;22;10;3;9;13;11;
2014;Verano;Emelec;1;22;5;4;13;10;17;
2014;Verano;LigaQuito;3;22;19;0;3;20;5;
2014;Verano;UCatolica;6;22;5;11;6;8;13;
2014;Verano;Independiente;12;22;7;6;9;9;11;
2014;Verano;Aucas;4;22;2;14;6;3;9;
2014;Verano;DCuenca;2;22;1;15;6;3;9;
2014;Verano;Nacional;11;22;11;7;4;15;6;
2014;Verano;DQuito;8;22;1;4;17;2;31;
2014;Verano;Aucas;5;22;8;0;14;14;29;
2014;Verano;River;10;22;6;8;8;7;17;
2014;Verano;LigaLoja;7;22;20;1;1;24;2;
2014;Invierno;Barcelona;6;22;16;5;1;22;3;
2014;Invierno;Emelec;10;22;8;8;6;16;12;
2014;Invierno;LigaQuito;8;22;18;3;1;21;3;
2014;Invierno;UCatolica;5;22;13;3;6;17;13;
2014;Invierno;Independiente;3;22;6;8;8;8;12;
2014;Invierno;Aucas;12;22;11;2;9;13;11;
2014;Invierno;DCuenca;7;22;13;7;2;14;3;
2014;Invierno;Nacional;4;22;7;4;11;10;20;
2014;Invierno;DQuito;2;22;20;1;1;21;3;
2014;Invierno;Aucas;1;22;21;0;1;30;2;
2014;Invierno;River;9;22;9;2;11;11;13;
2014;Invierno;LigaLoja;11;22;13;8;1;22;2;
